,Name,Parent_key,Type,Prompt,Pharmacological properties indication,Pharmacodynamics,Mechanism of action,Toxicity
11,Dequalinium,DB04209,large molecules,"Imagine you are a pharmacologist, answer with fairness, justice, and a scientific attitude.","Dequalinium is used in several OTC products to treat mouth infections and inflammation, such as tonsillitis, pharyngitis, and gingivitis.[A249255] As vaginal tablets, dequalinium is indicated for the treatment of bacterial vaginosis in adult women under 55 years of age.[L42190]","_In vitro_, dequalinium possesses antimicrobial activity against gram-positive and gram-negative bacteria, yeasts, and protozoa.[A19293] Dequalinium has a rapid bactericidal and fungicidal action.[A19280] The antiparasitic and antiviral properties of dequalinium have also been noted. For example, dequalinium can bind to the membrane-proximal external region (MPER) of the spike envelope of the human immunodeficiency virus HIV-1.[A249255]

As with other quaternary ammonium compounds similar to dequalinium, gram-positive bacteria are more sensitive to dequalinium than gram-negative bacteria.[A19293,L42190] The bactericidal and fungicidal effects of dequalinium can occur within 30 to 60 minutes.[A19294] According to _in vitro_ studies, the minimal inhibitory concentration (MIC) for dequalinium against relevant vaginal pathogens ranges from 0.2 to 鈮?1024 碌g/mL.[L42190]

There is evidence that dequalinium exhibits anticancer activity in human leukemia cells: dequalinium induces a cytotoxic effect by altering redox balance, downregulating Raf/MEK/ERK1/2 and PI3K/Akt signalling pathways, and promoting apoptosis of leukemic cells.[A19290,A19291,A19292] Dequalinium was also shown to block small conductance Ca<sup>2+</sup>-activated K<sup>+</sup> channels, called SK channels, which are often expressed in some cancer cells to play a role in cell proliferation and migration.[A249255] One study showed that dequalinium reduced macrophage motility in mice, inhibiting macrophage infiltration of irradiated tumours and attenuating local metastasis.[A19289]

Interestingly, dequalinium was shown to modulate and induce self-oligomerization of alpha-synuclein, a synaptic protein known to cause aggregates in several neurodegenerative disorders. This finding highlights the neuroprotective actions of dequalinium; however, further investigations are warranted as dequalinium is a neurotoxic agent.[A249255]","Dequalinium has multiple modes of action. Dequalinium absorbs into the bacterial cell surface and diffuses through the cell wall, disrupting bacterial cell permeability.[A19293,A249255] It is taken up by the bacteria rapidly.[A249255] Once in the bacteria, dequalinium denatures proteins involved in the respiratory chain and glycolysis of bacteria, interfering with bacterial cell metabolism and ribosomal protein synthesis.[A19280,A19293,A249255] By inhibiting bacterial F1-ATPase, dequalinium inhibits mitochondrial ATP synthesis and blocks glucose metabolism. These molecular actions ultimately deplete bacterial energy sources.[A19280] As dequalinium accumulates in the mitochondria, it is considered a mitochondrial poison.[A19295,A249255]

Dequalinium can also precipitate nucleic acids, as it can intercalate one of its quinoline chromophores between DNA base pairs.[A19280,A249255] Depending on the drug concentration, dequalinium can lyse the bacterial cell by promoting osmotic imbalance.[A19280,A19293]","The LD50 was 18300 ug/kg following intraperitoneal administration and 70 mg/kg following subcutaneous administration in mice.[L42260] There is limited clinical experience of drug overdose with dequalinium. While dequalinium is generally well tolerated and considered as safe at recommended therapeutic doses, dequalinium is a neurotoxic agent and mitochondrial poison. At a high dose in mice, the drug caused damages to the liver and kidneys, and caused renal and hepatic failure.[A249255]"
12,Apremilast,DB05676,large molecules,"Imagine you are a pharmacologist, answer with fairness, justice, and a scientific attitude.","Apremilast is indicated for the treatment of adults with active psoriatic arthritis and adults with oral ulcers associated with Behcet's Disease. In addition, apremilast is indicated for the treatment of plaque psoriasis, of any severity, in adult patients who are candidates for phototherapy or systemic therapy.[L7501]","Apremilast reduces but does not completely inhibit various inflammatory cytokines such as IL-1, IL-6, IL-8, IL-10 MCP-1, MIP-1, MMP-3, and TNF-α, relieving the symptoms of psoriasis and Behcet's disease, which are caused by an increase in these inflammatory mediators.[A181220,L7498] This drug has also been proven to be effective in relieving the pain associated with oral ulcers in Behcet's disease.[A181244] Apremilast may cause unwanted weight loss and worsen depression, leading to suicidal thoughts or actions. It is advisable to monitor for symptoms of depression and seek medical attention if they occur, especially in patients with pre-existing depression. The need for apremilast should be carefully assessed along with the risk of worsening depression and suicide. If weight loss occurs, the degree of weight loss should be evaluated, and consideration should be made for the possible discontinuation of apremilast.[L7501]","The full mechanism of action of this drug is not fully established, however, it is known that apremilast is an inhibitor of phosphodiesterase 4 (PDE4), which mediates the activity of cyclic adenosine monophosphate (cAMP), a second messenger.[A181217] The inhibition of PDE4 by apremilast leads to increased intracellular cAMP levels.[L7501] An increase in cAMP results in the suppression of inflammation by decreasing the expression of TNF-伪, IL-17, IL-23, and other inflammatory mediators. The above inflammatory mediators have been implicated in various psoriatic conditions as well as Behcet's disease, leading to their undesirable inflammatory symptoms such as mouth ulcers, skin lesions, and arthritis.[A181220,L7498,L7501] Apremilast administration leads to a cascade which eventually decreases the levels of the above mediators, relieving inflammatory symptoms.","The oral LD50 in mice was greater than 2000 mg/kg in mice.  In rats, oral LD50 was 2000 mg/kg males and 300 mg/kg in females.[L7505]Overdose informationIn healthy subjects receiving a maximum dose of 100 mg (given as 50 mg twice daily) for about 5 days, no significant toxicity was observed. In cases of an overdose, supportive and symptomatic treatment should be administered. Contact the local poison control center for the most recent overdose management for apremilast.[L7502]"
13,Silodosin,DB06207,large molecules,"Imagine you are a pharmacologist, answer with fairness, justice, and a scientific attitude.",Silodosin is indicated for the treatment of the signs and symptoms of benign prostatic hyperplasia (BPH). It is not indicated for the treatment of hypertension.[L32368],"Silodosin is an antagonist of sub-adrenoceptors. It has the highest selectivity for the sub-adrenoceptor subtype, with a 162-fold greater affinity than sub-adrenoceptor and about a 50-fold greater affinity than for sub-adrenoceptor. In clinical trials, silodosin improved maximum urinary flow rate, voiding symptoms, and storage symptoms of benign prostatic hyperplasia.[A231159, A231174] Following oral administration, silodosin had a rapid onset of effect in men,[A231174] with early effects of relieving lower urinary tract symptoms occurring within two to six hours post-dose.[A231229]Silodosin inhibited the human ether-a-go-go-related gene (HERG) tail current; however, it has weak cardiovascular effects.[A231199] As with all sub-adrenoceptor antagonists blocking sub-adrenoceptors in the iris dilator muscle, silodosin may cause intraoperative floppy iris syndrome (IFIS), which is characterized by small pupils and iris billowing during cataract surgery in patients taking 伪1-AR antagonists.[A231229]","
The pathogenesis of benign prostatic hyperplasia is not fully understood: it is believed to involve several pathways, including inflammation, apoptosis, and cellular proliferation. Most drug therapies aim to alleviate symptoms of benign prostatic hyperplasia, silodosin included. Lower urinary tract symptoms of benign prostatic hyperplasia are categorized into three main groups: voiding or obstructive (hesitancy, slow stream, intermittency, incomplete emptying), storage or irritative (frequency, urgency, nocturia, urge urinary incontinence), and postmicturition (postvoid dribbling). Prostate contraction is the main contributor to lower urinary tract symptoms of benign prostatic hyperplasia. The smooth muscle tone of the prostate is regulated by α1A-adrenoceptors, which are the most highly expressed subtype of α1adrenoceptors in the human prostate tissue.[A231159] It has been reported that blockade of α1A-adrenoceptors relieves bladder outlet obstruction. Blockade of α1D-adrenoceptors, another subtype found in prostate tissue, is believed to alleviate storage symptoms due to detrusor overactivity.[A231229]α1-adrenoceptors are G protein-coupled receptors: upon binding of its natural ligand, norepinephrine and epinephrine, leads to the activation of phospholipase C and downstream signalling molecules, including inositol triphosphate and diacylglycerol. Ultimately, there is an increase in intracellular calcium levels and, consequently, smooth muscle contraction. Silodosin is an antagonist of α1-adrenoceptors, with the highest selectivity for the α1A-adrenoceptor subtype. By blocking the α1A-adrenoceptor signalling pathway, silodosin promotes prostatic and urethral smooth muscle relaxation, thereby improving lower urinary tract symptoms such as voiding. Silodosin also targets afferent nerves in the bladder, relieving bladder overactivity and storage symptoms..[A231159]","Oral LD50 is 800 mg/kg in rats.[L32393]In clinical trials, postural hypotension was the most common dose-limiting adverse event. In case of drug overdose leading to hypotension, the patient should be placed in a supine position to restore blood pressure and normalize heart rate. Further measures, such as administration of intravenous fluids, may be initiated. In case of the use of vasopressors, renal function should be monitored and supported as needed. Since silodosin is highly bound to plasma proteins, dialysis is unlikely to be beneficial.[L32368]"
14,Dimetacrine,DB08996,medium molecules,"Imagine you are a pharmacologist, answer with fairness, justice, and a scientific attitude.",Na,Little is known about the pharmacology of dimetacrine. ,"Dimetacrine is also known as dimethacrine or acripamine. It is marketed under the names Istonil, Istonyl, Linostil, and Miroistonil. Dimetacrine is a tricyclic antidepressant (TCA) with imipramine-like effects used in Europe for the treatment of depression. Dimetacrine is no longer used in Japan*.",Dimetacrine may induce severe cardiac toxicity in overdose. This property is unique among the tricyclic antidepressants. 
15,Camostat,DB13729,medium molecules,"Imagine you are a pharmacologist, answer with fairness, justice, and a scientific attitude.",Camostat mesylate is indicated in Japan to treat chronic pancreatitis and drug induced lung injury.[A193845] It is also being investigated as a potential treatment for COVID-19.[A193800],"Camostat mesylate is a protease inhibitor used to treat chronic pancreatitis.[A193845] The duration of action is not long, as it is typically given in 3 divided doses daily.[L13197] Patients should be counselled regarding the risk of anaphylaxis, thrombocytopenia, hepatic dysfunction, and hyperkalemia.[L13197]","In rats, oral camostat mesylate may increase pancreatic secretions and hypertrophy by increasing cholecystokinin release.[A198771] Administration in rats has also lead to lower levels of IL-1beta, IL-6, TNF-alpha, TGF-beta, and PSC.[A198777] Similar activity is seem after administration in humans, leading to reduced pain and inflammation as well as improve the function of the pancrease in chronic pancreatitis.[L13197]In the case of SARS-CoV-2, camostat mesylate inhibits the action of the serine protease TMPRSS2, preventing the priming of the viral spike protein for attachment to ACE2, and entry into the cell.[A193800]","Data regarding overdoses of camostat mesylate are not readily available, however common adverse effects include rash, pruritus, nausea, abnormal laboratory test values, and diarrhea.[L13197]"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
