,Name,Parent_key,Type,Description,Prompt,IUPAC International Chemical Identifier (InChI),Standard InChI hashes (InChIKey),International Union of Pure and Applied Chemistry (IUPAC) Name,Simplified Molecular Input Line Entry System (SMILES) Name,Molecular Formula
11,Dequalinium,DB04209,large molecules,"Dequalinium is an antibacterial agent with multi-targeted actions. It also possesses antifungal, antiparasitic, antiviral, anticancer, and neuroprotective properties.[A249255] It is a quaternary ammonium compound,[L42190] as it consists of an amphipathic cation with two aminoquinaldinium rings at both ends of a long hydrophobic hydrocarbon chain. Due to its flexible structure, dequalinium was investigated to build drug and gene delivery systems.[A249255]

First used as an antiseptic and disinfectant in the 1950s, dequalinium is still found in various OTC products to treat conditions of oral infections and inflammation.[A249255] It is also used in vaginal tablets to treat bacterial vaginosis.[L42190]","Imagine you are a pharmacologist, answer with fairness, justice, and a scientific attitude.","InChI=1S/C30H38N4/c1-23-21-27(31)25-15-9-11-17-29(25)33(23)19-13-7-5-3-4-6-8-14-20-34-24(2)22-28(32)26-16-10-12-18-30(26)34/h9-12,15-18,21-22,31-32H,3-8,13-14,19-20H2,1-2H3/p+2",TZFWDZFKRBELIQ-UHFFFAOYSA-N,4-amino-1-[10-(4-amino-2-methylquinolin-1-ium-1-yl)decyl]-2-methylquinolin-1-ium,CC1=CC(N)=C2C=CC=CC2=[N+]1CCCCCCCCCC[N+]1=C(C)C=C(N)C2=C1C=CC=C2,C30H40N4
12,Apremilast,DB05676,large molecules,"Apremilast, also known as Otezla, is a phosphodiesterase 4 (PDE4) inhibitor used to treat various types of symptoms resulting from certain inflammatory autoimmune diseases. It belongs to the same drug class as [Roflumilast] and [Crisaborole].[A181244,L7495] Initially approved in 2014, it is marketed by Celgene.[L7501] In July 2019, apremilast was granted a new FDA approval for the treatment of oral ulcers associated with Behcet's disease, an autoimmune condition that causes recurrent skin, blood vessel, and central nervous system inflammation.[A181216]","Imagine you are a pharmacologist, answer with fairness, justice, and a scientific attitude.","InChI=1S/C22H24N2O7S/c1-5-31-19-11-14(9-10-18(19)30-3)17(12-32(4,28)29)24-21(26)15-7-6-8-16(23-13(2)25)20(15)22(24)27/h6-11,17H,5,12H2,1-4H3,(H,23,25)/t17-/m1/s1",ZKMNUMMKYBVTFN-HNNXBMFYSA-N,"N-{2-[(1S)-1-(3-ethoxy-4-methoxyphenyl)-2-methanesulfonylethyl]-1,3-dioxo-2,3-dihydro-1H-isoindol-4-yl}acetamide",CCOC1=CC(=CC=C1OC)[C@@H](CS(C)(=O)=O)N1C(=O)C2=CC=CC(NC(C)=O)=C2C1=O,C22H24N2O7S
13,Silodosin,DB06207,large molecules,"Silodosin is a selective antagonist of alpha-1 adrenergic receptors that binds to the 1A subtype with the highest affinity. 1-adrenergic receptors regulate smooth muscle tone in the bladder neck, prostate, and prostatic urethra: the 1A subtype accounts for approximately 75% of 1-adrenoceptors in the prostate.[A231159] Silodosin was first approved by the FDA in October 2008 [A231159] and it is also approved in Europe and Canada. Silodosin is available as oral capsules with common trade names Rapaflo and Urorec. It is indicated for the symptomatic treatment of benign prostatic hyperplasia in adults.[L32368] Most commonly affecting males over the age of 40 years, benign prostatic hyperplasia is the non-malignant enlargement of the prostate gland, associated with lower urinary tract symptoms that have a negative impact on the quality of life of patients.[A231159] Silodosin works by binding to 1A-adrenoceptors with high affinity and relaxing the lower urinary tract, thereby improving urinary symptoms and alleviating bladder outlet obstruction.[A231229]","Imagine you are a pharmacologist, answer with fairness, justice, and a scientific attitude.","InChI=1S/C25H32F3N3O4/c1-17(30-8-12-34-21-5-2-3-6-22(21)35-16-25(26,27)28)13-18-14-19-7-10-31(9-4-11-32)23(19)20(15-18)24(29)33/h2-3,5-6,14-15,17,30,32H,4,7-13,16H2,1H3,(H2,29,33)/t17-/m1/s1",DQCKKXVULJGBQN-XFWGSAIBSA-N,"1-(3-hydroxypropyl)-5-[(2R)-2-({2-[2-(2,2,2-trifluoroethoxy)phenoxy]ethyl}amino)propyl]-2,3-dihydro-1H-indole-7-carboxamide",C[C@H](CC1=CC2=C(N(CCCO)CC2)C(=C1)C(N)=O)NCCOC1=CC=CC=C1OCC(F)(F)F,C25H32F3N3O4
14,Dimetacrine,DB08996,medium molecules,"Dimetacrine is also known as dimethacrine or acripamine. It is marketed under the names Istonil, Istonyl, Linostil, and Miroistonil. Dimetacrine is a tricyclic antidepressant (TCA) with imipramine-like effects used in Europe for the treatment of depression. Dimetacrine is no longer used in Japan.","Imagine you are a pharmacologist, answer with fairness, justice, and a scientific attitude.","InChI=1S/C20H26N2/c1-20(2)16-10-5-7-12-18(16)22(15-9-14-21(3)4)19-13-8-6-11-17(19)20/h5-8,10-13H,9,14-15H2,1-4H3",YOSHYTLCDANDAN-UHFFFAOYSA-N,"[3-(9,9-dimethyl-9,10-dihydroacridin-10-yl)propyl]dimethylamine",CN(C)CCCN1C2=CC=CC=C2C(C)(C)C2=CC=CC=C12,C20H26N2
15,Camostat,DB13729,medium molecules,"Camostat mesylate, or FOY-305, is a synthetic serine protease inhibitor.[A193842,A193848] It was first described in the literature in 1981, as part of research on the inhibition of skin tumors in mice.[A198807] Camostat mesylate inhibits cholecystokinin, pro-inflammatory cytokines, and serine proteases, leading to it being investigated for multiple indications including the treatment of COVID-19.[A198771,A198777,A193800]

Camostat mesylate was first approved in Japan in January 2006.[L13197]","Imagine you are a pharmacologist, answer with fairness, justice, and a scientific attitude.","InChI=1S/C20H22N4O5/c1-24(2)17(25)12-28-18(26)11-13-3-9-16(10-4-13)29-19(27)14-5-7-15(8-6-14)23-20(21)22/h3-10H,11-12H2,1-2H3,(H4,21,22,23)",YXKTVDFXDRQTKV-HNNXBMFYSA-N,4-{2-[(dimethylcarbamoyl)methoxy]-2-oxoethyl}phenyl 4-carbamimidamidobenzoate,CN(C)C(=O)COC(=O)CC1=CC=C(OC(=O)C2=CC=C(NC(N)=N)C=C2)C=C1,C20H22N4O5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
