,Name,Parent_key,Type,Prompt,Target,Action
42,Silodosin,DB06207,large molecules,"Imagine you are a pharmacologist, answer with fairness, justice, and a scientific attitude.",ADRA1A,agonist
43,Silodosin,DB06207,large molecules,"Imagine you are a pharmacologist, answer with fairness, justice, and a scientific attitude.",ADRA1D,agonist
44,Silodosin,DB06207,large molecules,"Imagine you are a pharmacologist, answer with fairness, justice, and a scientific attitude.",ADRA1B,agonist
45,Silodosin,DB06207,large molecules,"Imagine you are a pharmacologist, answer with fairness, justice, and a scientific attitude.",KCNH2,inhibitor
46,Dimetacrine,DB08996,medium molecules,"Imagine you are a pharmacologist, answer with fairness, justice, and a scientific attitude.",ACHE,inhibitor
47,Camostat,DB13729,medium molecules,"Imagine you are a pharmacologist, answer with fairness, justice, and a scientific attitude.",PRSS1,inhibitor
48,Camostat,DB13729,medium molecules,"Imagine you are a pharmacologist, answer with fairness, justice, and a scientific attitude.",TMPRSS2,inhibitor
49,Camostat,DB13729,medium molecules,"Imagine you are a pharmacologist, answer with fairness, justice, and a scientific attitude.",ST14,inhibitor
50,Camostat,DB13729,medium molecules,"Imagine you are a pharmacologist, answer with fairness, justice, and a scientific attitude.",CCK,inhibitor
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
